Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,Space,OBPM,DBPM,BPM,VORP
371,Marreese Speights\speigma01,C,29,LAC,21,328,18.1,.542,.418,.376,9.1,24.0,16.7,7.4,1.2,2.7,7.3,24.1,,0.7,0.6,1.3,.189,,1.0,0.0,1.1,0.3
372,Nik Stauskas\stausni01,SG,23,PHI,20,514,11.0,.618,.569,.215,0.9,10.1,5.6,10.1,0.9,1.4,17.7,16.6,,0.3,0.2,0.5,.042,,-0.6,-1.5,-2.0,0.0
373,Lance Stephenson\stephla01,SG,26,NOP,6,162,10.6,.496,.182,.145,2.0,9.9,5.9,28.6,0.6,0.5,15.8,19.2,,0.0,0.1,0.1,.024,,-2.5,-2.1,-4.6,-0.1
374,Jarnell Stokes\stokeja01,PF,23,DEN,2,7,32.2,.798,.000,2.000,15.1,15.1,15.1,44.0,6.9,0.0,0.0,11.2,,0.1,0.0,0.1,.488,,12.0,4.3,16.3,0.0
375,Diamond Stone\stonedi01,C,19,LAC,3,14,2.8,.381,.000,.286,8.2,15.6,12.0,0.0,0.0,5.8,11.3,28.3,,0.0,0.0,0.0,-0.077,,-12.6,-3.9,-16.5,-0.1
376,Rodney Stuckey\stuckro01,PG,30,IND,9,174,8.7,.506,.222,.508,1.3,11.3,6.3,11.3,1.4,0.0,18.9,23.9,,-0.2,0.1,-0.1,-0.038,,-4.8,-2.8,-7.5,-0.2
377,Walter Tavares\tavarwa01,C,24,ATL,1,4,13.4,.532,.000,2.000,0.0,27.2,13.7,0.0,0.0,0.0,0.0,20.2,,0.0,0.0,0.0,-0.036,,-7.8,-6.6,-14.4,0.0
378,Jeff Teague\teaguje01,PG,28,IND,19,599,19.0,.533,.279,.397,1.7,12.0,6.8,33.1,3.1,1.8,15.9,23.4,,0.8,0.7,1.5,.122,,1.6,0.5,2.1,0.6
379,Mirza Teletovic\teletmi01,PF,31,MIL,17,271,10.6,.560,.830,.120,2.0,14.2,8.2,6.1,0.4,1.0,8.7,18.7,,0.2,0.2,0.4,.075,,0.8,-3.5,-2.6,0.0
380,Garrett Temple\templga01,SG,30,SAC,19,408,10.6,.525,.527,.132,2.6,10.8,6.7,11.9,2.2,2.2,13.5,12.2,,0.2,0.3,0.5,.064,,-0.8,1.1,0.3,0.2
381,Jason Terry\terryja01,SG,39,MIL,13,235,5.4,.454,.651,.116,0.5,6.8,3.7,9.1,1.3,1.5,11.7,9.6,,0.0,0.2,0.1,.027,,-2.8,-0.6,-3.4,-0.1
382,Isaiah Thomas\thomais02,PG,27,BOS,20,666,25.1,.575,.350,.483,1.8,6.8,4.3,33.9,1.2,0.4,9.0,33.7,,2.7,0.2,2.9,.210,,7.0,-3.9,3.1,0.9
383,Lance Thomas\thomala01,PF,28,NYK,9,143,5.5,.436,.256,.000,2.3,12.1,7.2,3.9,1.7,0.6,11.4,13.3,,-0.1,0.1,-0.1,-0.022,,-4.5,-1.1,-5.5,-0.1
384,Hollis Thompson\thompho01,SG,25,PHI,20,393,11.4,.536,.437,.134,3.7,13.2,8.5,7.5,1.5,0.8,4.5,14.9,,0.4,0.2,0.6,.077,,-0.6,-1.2,-1.7,0.0
385,Klay Thompson\thompkl01,SG,26,GSW,20,684,14.8,.578,.466,.136,1.6,9.3,5.7,9.4,1.0,0.7,10.3,25.0,,0.7,0.4,1.2,.081,,0.9,-3.0,-2.1,0.0
386,Tristan Thompson\thomptr01,C,25,CLE,18,522,15.4,.607,.013,.595,12.3,23.3,18.0,4.6,0.8,4.0,8.3,9.1,,1.2,0.7,1.8,.168,,0.0,2.8,2.8,0.6
387,Marcus Thornton\thornma01,SG,29,WAS,17,335,10.0,.465,.384,.152,4.3,9.2,6.7,9.8,1.9,0.0,9.5,19.2,,0.0,0.2,0.2,.029,,-1.6,-1.9,-3.6,-0.1
388,Anthony Tolliver\tollian01,PF,31,SAC,8,96,7.4,.519,.737,.263,7.3,12.1,9.7,7.5,0.5,0.0,15.9,11.7,,0.1,0.0,0.1,.041,,-1.1,-2.1,-3.1,0.0
389,Karl-Anthony Towns\townska01,C,21,MIN,20,695,23.5,.567,.223,.280,10.3,24.0,16.8,12.3,1.2,3.7,9.8,27.6,,1.8,0.6,2.5,.171,,3.3,-0.1,3.2,0.9
390,P.J. Tucker\tuckepj01,SF,31,PHO,20,480,10.7,.504,.406,.406,7.2,19.4,13.1,6.0,2.1,0.7,12.5,11.8,,0.3,0.4,0.7,.072,,-1.3,1.0,-0.3,0.2
391,Evan Turner\turneev01,SG,28,POR,21,522,12.2,.484,.204,.193,2.5,15.5,9.0,17.3,1.5,0.9,11.3,18.5,,0.2,0.1,0.3,.032,,-2.0,-1.0,-2.9,-0.1
392,Myles Turner\turnemy01,C,20,IND,18,514,21.1,.606,.111,.384,6.4,23.3,14.9,5.7,1.6,6.8,11.5,21.4,,1.0,0.9,1.8,.173,,-0.5,2.3,1.8,0.5
393,Beno Udrih\udrihbe01,PG,34,DET,21,367,15.5,.522,.165,.150,1.5,9.4,5.5,30.2,0.8,0.0,11.8,19.7,,0.5,0.3,0.9,.116,,0.4,-1.3,-0.9,0.1
